O*NET-SOC Code,Title,Tech_Skill
13-2031.00,Budget Analysts,Spreadsheet software
13-2031.00,Budget Analysts,Office suite software
13-2031.00,Budget Analysts,Presentation software
13-2031.00,Budget Analysts,Cloud-based data access and sharing software
13-2031.00,Budget Analysts,Object or component oriented development software
13-2031.00,Budget Analysts,Word processing software
13-2031.00,Budget Analysts,Time accounting software
13-2031.00,Budget Analysts,Data base reporting software
13-2031.00,Budget Analysts,Analytical or scientific software
13-2041.00,Credit Analysts,Desktop calculator
13-2041.00,Credit Analysts,Desktop computers
13-2041.00,Credit Analysts,Notebook computers
13-2041.00,Credit Analysts,Personal computers
13-2041.00,Credit Analysts,Scanners
13-2041.00,Credit Analysts,Information retrieval or search software
13-2041.00,Credit Analysts,Financial analysis software
13-2041.00,Credit Analysts,Document management software
13-2041.00,Credit Analysts,Content workflow software
13-2041.00,Credit Analysts,Office suite software
13-2041.00,Credit Analysts,Enterprise resource planning ERP software
13-2041.00,Credit Analysts,Spreadsheet software
13-2041.00,Credit Analysts,Electronic mail software
13-2041.00,Credit Analysts,Presentation software
13-2041.00,Credit Analysts,Data base user interface and query software
13-2041.00,Credit Analysts,Development environment software
13-2041.00,Credit Analysts,Word processing software
13-2041.00,Credit Analysts,Business intelligence and data analysis software
13-2041.00,Credit Analysts,Object or component oriented development software
13-2041.00,Credit Analysts,Analytical or scientific software
13-2051.00,Financial and Investment Analysts,Desktop calculator
13-2051.00,Financial and Investment Analysts,Scanners
13-2051.00,Financial and Investment Analysts,Desktop computers
13-2051.00,Financial and Investment Analysts,Notebook computers
13-2051.00,Financial and Investment Analysts,Laser fax machine
13-2051.00,Financial and Investment Analysts,Special purpose telephones
13-2051.00,Financial and Investment Analysts,Personal computers
13-2051.00,Financial and Investment Analysts,Photocopiers
13-2051.00,Financial and Investment Analysts,Tablet computers
13-2051.00,Financial and Investment Analysts,Accounting software
13-2051.00,Financial and Investment Analysts,Human resources software
13-2051.00,Financial and Investment Analysts,Financial analysis software
13-2051.00,Financial and Investment Analysts,Business intelligence and data analysis software
13-2051.00,Financial and Investment Analysts,Analytical or scientific software
13-2051.00,Financial and Investment Analysts,Data base management system software
13-2051.00,Financial and Investment Analysts,Spreadsheet software
13-2051.00,Financial and Investment Analysts,Presentation software
13-2051.00,Financial and Investment Analysts,Information retrieval or search software
13-2051.00,Financial and Investment Analysts,Electronic mail software
13-2051.00,Financial and Investment Analysts,Data base user interface and query software
13-2051.00,Financial and Investment Analysts,Word processing software
13-2051.00,Financial and Investment Analysts,Enterprise system management software
13-2051.00,Financial and Investment Analysts,Expert system software
13-2051.00,Financial and Investment Analysts,Sales and marketing software
13-2051.00,Financial and Investment Analysts,Enterprise resource planning ERP software
13-2051.00,Financial and Investment Analysts,Document management software
13-2051.00,Financial and Investment Analysts,Office suite software
13-2051.00,Financial and Investment Analysts,Project management software
13-2051.00,Financial and Investment Analysts,Cloud-based data access and sharing software
13-2051.00,Financial and Investment Analysts,Data base reporting software
13-2051.00,Financial and Investment Analysts,Process mapping and design software
13-2051.00,Financial and Investment Analysts,Development environment software
13-2051.00,Financial and Investment Analysts,Charting software
13-2051.00,Financial and Investment Analysts,Configuration management software
13-2051.00,Financial and Investment Analysts,Object or component oriented development software
13-2051.00,Financial and Investment Analysts,Customer relationship management CRM software
13-2051.00,Financial and Investment Analysts,Internet browser software
13-2052.00,Personal Financial Advisors,Desktop calculator
13-2052.00,Personal Financial Advisors,Desktop computers
13-2052.00,Personal Financial Advisors,Notebook computers
13-2052.00,Personal Financial Advisors,Personal computers
13-2052.00,Personal Financial Advisors,Personal digital assistant PDAs or organizers
13-2052.00,Personal Financial Advisors,Tablet computers
13-2052.00,Personal Financial Advisors,Customer relationship management CRM software
13-2052.00,Personal Financial Advisors,Financial analysis software
13-2052.00,Personal Financial Advisors,Word processing software
13-2052.00,Personal Financial Advisors,Document management software
13-2052.00,Personal Financial Advisors,Compliance software
13-2052.00,Personal Financial Advisors,Spreadsheet software
13-2052.00,Personal Financial Advisors,Data base user interface and query software
13-2052.00,Personal Financial Advisors,Presentation software
13-2052.00,Personal Financial Advisors,Accounting software
13-2052.00,Personal Financial Advisors,Communications server software
13-2052.00,Personal Financial Advisors,Enterprise resource planning ERP software
13-2052.00,Personal Financial Advisors,Office suite software
13-2052.00,Personal Financial Advisors,Electronic mail software
13-2052.00,Personal Financial Advisors,Project management software
13-2052.00,Personal Financial Advisors,Development environment software
13-2052.00,Personal Financial Advisors,Analytical or scientific software
13-2052.00,Personal Financial Advisors,Calendar and scheduling software
13-2052.00,Personal Financial Advisors,Object or component oriented development software
13-2052.00,Personal Financial Advisors,Internet browser software
13-2053.00,Insurance Underwriters,Desktop calculator
13-2053.00,Insurance Underwriters,Desktop computers
13-2053.00,Insurance Underwriters,Notebook computers
13-2053.00,Insurance Underwriters,Personal computers
13-2053.00,Insurance Underwriters,Enterprise resource planning ERP software
13-2053.00,Insurance Underwriters,Object or component oriented development software
13-2053.00,Insurance Underwriters,Data base user interface and query software
13-2053.00,Insurance Underwriters,Financial analysis software
13-2053.00,Insurance Underwriters,Document management software
13-2053.00,Insurance Underwriters,Information retrieval or search software
13-2053.00,Insurance Underwriters,Spreadsheet software
13-2053.00,Insurance Underwriters,Office suite software
13-2053.00,Insurance Underwriters,Electronic mail software
13-2053.00,Insurance Underwriters,Presentation software
13-2053.00,Insurance Underwriters,Operating system software
13-2053.00,Insurance Underwriters,Word processing software
13-2053.00,Insurance Underwriters,Internet browser software
13-2054.00,Financial Risk Specialists,Desktop calculator
13-2054.00,Financial Risk Specialists,Scanners
13-2054.00,Financial Risk Specialists,Desktop computers
13-2054.00,Financial Risk Specialists,Notebook computers
13-2054.00,Financial Risk Specialists,Laser fax machine
13-2054.00,Financial Risk Specialists,Special purpose telephones
13-2054.00,Financial Risk Specialists,Personal computers
13-2054.00,Financial Risk Specialists,Photocopiers
13-2054.00,Financial Risk Specialists,Tablet computers
13-2054.00,Financial Risk Specialists,Human resources software
13-2054.00,Financial Risk Specialists,Financial analysis software
13-2054.00,Financial Risk Specialists,Data base user interface and query software
13-2054.00,Financial Risk Specialists,Analytical or scientific software
13-2054.00,Financial Risk Specialists,Data base management system software
13-2054.00,Financial Risk Specialists,Spreadsheet software
13-2054.00,Financial Risk Specialists,Presentation software
13-2054.00,Financial Risk Specialists,Content workflow software
13-2054.00,Financial Risk Specialists,Object or component oriented development software
13-2054.00,Financial Risk Specialists,Information retrieval or search software
13-2054.00,Financial Risk Specialists,Accounting software
13-2054.00,Financial Risk Specialists,Word processing software
13-2054.00,Financial Risk Specialists,Business intelligence and data analysis software
13-2054.00,Financial Risk Specialists,Electronic mail software
13-2054.00,Financial Risk Specialists,Enterprise system management software
13-2054.00,Financial Risk Specialists,Expert system software
13-2054.00,Financial Risk Specialists,Operating system software
13-2054.00,Financial Risk Specialists,Enterprise resource planning ERP software
13-2054.00,Financial Risk Specialists,Sales and marketing software
13-2054.00,Financial Risk Specialists,Transaction security and virus protection software
13-2054.00,Financial Risk Specialists,Development environment software
13-2054.00,Financial Risk Specialists,Document management software
13-2054.00,Financial Risk Specialists,Office suite software
13-2054.00,Financial Risk Specialists,Project management software
13-2054.00,Financial Risk Specialists,Cloud-based data access and sharing software
13-2054.00,Financial Risk Specialists,Data base reporting software
13-2054.00,Financial Risk Specialists,Process mapping and design software
13-2054.00,Financial Risk Specialists,Charting software
13-2054.00,Financial Risk Specialists,Configuration management software
13-2054.00,Financial Risk Specialists,Customer relationship management CRM software
13-2054.00,Financial Risk Specialists,Internet browser software
13-2061.00,Financial Examiners,Desktop calculator
13-2061.00,Financial Examiners,Desktop computers
13-2061.00,Financial Examiners,Notebook computers
13-2061.00,Financial Examiners,Personal computers
13-2061.00,Financial Examiners,Financial analysis software
13-2061.00,Financial Examiners,Compliance software
13-2061.00,Financial Examiners,Project management software
13-2061.00,Financial Examiners,Information retrieval or search software
13-2061.00,Financial Examiners,Data base user interface and query software
13-2061.00,Financial Examiners,Spreadsheet software
13-2061.00,Financial Examiners,Office suite software
13-2061.00,Financial Examiners,Electronic mail software
13-2061.00,Financial Examiners,Presentation software
13-2061.00,Financial Examiners,Cloud-based data access and sharing software
13-2061.00,Financial Examiners,Process mapping and design software
13-2061.00,Financial Examiners,Operating system software
13-2061.00,Financial Examiners,Word processing software
13-2061.00,Financial Examiners,Enterprise resource planning ERP software
13-2061.00,Financial Examiners,Internet browser software
13-2071.00,Credit Counselors,Scientific calculator
13-2071.00,Credit Counselors,Inkjet printers
13-2071.00,Credit Counselors,Notebook computers
13-2071.00,Credit Counselors,Laser fax machine
13-2071.00,Credit Counselors,Laser printers
13-2071.00,Credit Counselors,Special purpose telephones
13-2071.00,Credit Counselors,Personal computers
13-2071.00,Credit Counselors,Network conferencing software
13-2071.00,Credit Counselors,Financial analysis software
13-2071.00,Credit Counselors,Data base user interface and query software
13-2071.00,Credit Counselors,Electronic mail software
13-2071.00,Credit Counselors,Information retrieval or search software
13-2071.00,Credit Counselors,Enterprise resource planning ERP software
13-2071.00,Credit Counselors,Spreadsheet software
13-2071.00,Credit Counselors,Office suite software
13-2071.00,Credit Counselors,Presentation software
13-2071.00,Credit Counselors,Word processing software
13-2071.00,Credit Counselors,Internet browser software
13-2072.00,Loan Officers,Desktop calculator
13-2072.00,Loan Officers,Autodialers
13-2072.00,Loan Officers,Desktop computers
13-2072.00,Loan Officers,Notebook computers
13-2072.00,Loan Officers,Personal computers
13-2072.00,Loan Officers,Personal digital assistant PDAs or organizers
13-2072.00,Loan Officers,Scanners
13-2072.00,Loan Officers,Tablet computers
13-2072.00,Loan Officers,Financial analysis software
13-2072.00,Loan Officers,Accounting software
13-2072.00,Loan Officers,Information retrieval or search software
13-2072.00,Loan Officers,Development environment software
13-2072.00,Loan Officers,Transaction server software
13-2072.00,Loan Officers,Enterprise resource planning ERP software
13-2072.00,Loan Officers,Data base user interface and query software
13-2072.00,Loan Officers,Document management software
13-2072.00,Loan Officers,Content workflow software
13-2072.00,Loan Officers,Office suite software
13-2072.00,Loan Officers,Electronic mail software
13-2072.00,Loan Officers,Customer relationship management CRM software
13-2072.00,Loan Officers,Spreadsheet software
13-2072.00,Loan Officers,Internet browser software
13-2072.00,Loan Officers,Presentation software
13-2072.00,Loan Officers,Word processing software
13-2072.00,Loan Officers,Compliance software
13-2072.00,Loan Officers,Video conferencing software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Desktop calculator
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Laser printers
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Scanners
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Desktop computers
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Notebook computers
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Special purpose telephones
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Personal computers
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Photocopiers
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Human resources software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Accounting software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Document management software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Electronic mail software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Graphics or photo imaging software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Tax preparation software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Data base user interface and query software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Spreadsheet software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Office suite software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Presentation software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Word processing software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Optical character reader OCR or scanning software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Enterprise resource planning ERP software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Compliance software
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Internet browser software
13-2082.00,Tax Preparers,Desktop calculator
13-2082.00,Tax Preparers,Desktop computers
13-2082.00,Tax Preparers,Notebook computers
13-2082.00,Tax Preparers,Project management software
13-2082.00,Tax Preparers,Accounting software
13-2082.00,Tax Preparers,Tax preparation software
13-2082.00,Tax Preparers,Financial analysis software
13-2082.00,Tax Preparers,Electronic mail software
13-2082.00,Tax Preparers,Human resources software
13-2082.00,Tax Preparers,Document management software
13-2082.00,Tax Preparers,Data base user interface and query software
13-2082.00,Tax Preparers,Spreadsheet software
13-2082.00,Tax Preparers,Internet browser software
13-2082.00,Tax Preparers,Office suite software
13-2082.00,Tax Preparers,Word processing software
13-2082.00,Tax Preparers,Calendar and scheduling software
13-2082.00,Tax Preparers,Compliance software
13-2082.00,Tax Preparers,Web page creation and editing software
13-2099.00,"Financial Specialists, All Other",
13-2099.01,Financial Quantitative Analysts,Scanners
13-2099.01,Financial Quantitative Analysts,Desktop computers
13-2099.01,Financial Quantitative Analysts,Notebook computers
13-2099.01,Financial Quantitative Analysts,Mainframe computers
13-2099.01,Financial Quantitative Analysts,Special purpose telephones
13-2099.01,Financial Quantitative Analysts,Personal computers
13-2099.01,Financial Quantitative Analysts,Photocopiers
13-2099.01,Financial Quantitative Analysts,Data base user interface and query software
13-2099.01,Financial Quantitative Analysts,Data base management system software
13-2099.01,Financial Quantitative Analysts,Financial analysis software
13-2099.01,Financial Quantitative Analysts,Object or component oriented development software
13-2099.01,Financial Quantitative Analysts,Data mining software
13-2099.01,Financial Quantitative Analysts,Analytical or scientific software
13-2099.01,Financial Quantitative Analysts,Web platform development software
13-2099.01,Financial Quantitative Analysts,Operating system software
13-2099.01,Financial Quantitative Analysts,Development environment software
13-2099.01,Financial Quantitative Analysts,Enterprise resource planning ERP software
13-2099.01,Financial Quantitative Analysts,Spreadsheet software
13-2099.01,Financial Quantitative Analysts,Office suite software
13-2099.01,Financial Quantitative Analysts,Business intelligence and data analysis software
13-2099.01,Financial Quantitative Analysts,Presentation software
13-2099.01,Financial Quantitative Analysts,Process mapping and design software
13-2099.01,Financial Quantitative Analysts,Internet browser software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Desktop computers
13-2099.04,"Fraud Examiners, Investigators and Analysts",Digital voice recorders
13-2099.04,"Fraud Examiners, Investigators and Analysts",Digital cameras
13-2099.04,"Fraud Examiners, Investigators and Analysts",Digital camcorders or video cameras
13-2099.04,"Fraud Examiners, Investigators and Analysts",Notebook computers
13-2099.04,"Fraud Examiners, Investigators and Analysts",Personal computers
13-2099.04,"Fraud Examiners, Investigators and Analysts",Tablet computers
13-2099.04,"Fraud Examiners, Investigators and Analysts",Risk management data and analysis software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Accounting software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Business intelligence and data analysis software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Medical software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Information retrieval or search software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Data base user interface and query software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Spreadsheet software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Office suite software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Electronic mail software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Presentation software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Cloud-based data access and sharing software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Process mapping and design software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Word processing software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Transaction security and virus protection software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Audit software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Object or component oriented development software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Enterprise resource planning ERP software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Analytical or scientific software
13-2099.04,"Fraud Examiners, Investigators and Analysts",Cloud-based management software
15-1211.00,Computer Systems Analysts,Desktop computers
15-1211.00,Computer Systems Analysts,Mainframe computers
15-1211.00,Computer Systems Analysts,Notebook computers
15-1211.00,Computer Systems Analysts,Personal digital assistant PDAs or organizers
15-1211.00,Computer Systems Analysts,Word processing software
15-1211.00,Computer Systems Analysts,Access software
15-1211.00,Computer Systems Analysts,Requirements analysis and system architecture software
15-1211.00,Computer Systems Analysts,Internet directory services software
15-1211.00,Computer Systems Analysts,Development environment software
15-1211.00,Computer Systems Analysts,Document management software
15-1211.00,Computer Systems Analysts,Web platform development software
15-1211.00,Computer Systems Analysts,Web page creation and editing software
15-1211.00,Computer Systems Analysts,Graphics or photo imaging software
15-1211.00,Computer Systems Analysts,Human resources software
15-1211.00,Computer Systems Analysts,Object or component oriented development software
15-1211.00,Computer Systems Analysts,Data base management system software
15-1211.00,Computer Systems Analysts,Data base user interface and query software
15-1211.00,Computer Systems Analysts,Storage networking software
15-1211.00,Computer Systems Analysts,Cloud-based management software
15-1211.00,Computer Systems Analysts,Expert system software
15-1211.00,Computer Systems Analysts,Portal server software
15-1211.00,Computer Systems Analysts,Business intelligence and data analysis software
15-1211.00,Computer Systems Analysts,File versioning software
15-1211.00,Computer Systems Analysts,Operating system software
15-1211.00,Computer Systems Analysts,Configuration management software
15-1211.00,Computer Systems Analysts,Enterprise application integration software
15-1211.00,Computer Systems Analysts,Project management software
15-1211.00,Computer Systems Analysts,Content workflow software
15-1211.00,Computer Systems Analysts,Customer relationship management CRM software
15-1211.00,Computer Systems Analysts,Instant messaging software
15-1211.00,Computer Systems Analysts,Administration software
15-1211.00,Computer Systems Analysts,Video conferencing software
15-1211.00,Computer Systems Analysts,Program testing software
15-1211.00,Computer Systems Analysts,Computer aided design CAD software
15-1211.00,Computer Systems Analysts,Financial analysis software
15-1211.00,Computer Systems Analysts,Desktop communications software
15-1211.00,Computer Systems Analysts,Transaction server software
15-1211.00,Computer Systems Analysts,Data conversion software
15-1211.00,Computer Systems Analysts,Pattern design software
15-1211.00,Computer Systems Analysts,Application server software
15-1211.00,Computer Systems Analysts,Medical software
15-1211.00,Computer Systems Analysts,Geographic information system
15-1211.00,Computer Systems Analysts,Process mapping and design software
15-1211.00,Computer Systems Analysts,Accounting software
15-1211.00,Computer Systems Analysts,Data mining software
15-1211.00,Computer Systems Analysts,Helpdesk or call center software
15-1211.00,Computer Systems Analysts,Object oriented data base management software
15-1211.00,Computer Systems Analysts,Analytical or scientific software
15-1211.00,Computer Systems Analysts,Communications server software
15-1211.00,Computer Systems Analysts,Electronic mail software
15-1211.00,Computer Systems Analysts,Enterprise system management software
15-1211.00,Computer Systems Analysts,Metadata management software
15-1211.00,Computer Systems Analysts,Information retrieval or search software
15-1211.00,Computer Systems Analysts,Sales and marketing software
15-1211.00,Computer Systems Analysts,Transaction security and virus protection software
15-1211.00,Computer Systems Analysts,Enterprise resource planning ERP software
15-1211.00,Computer Systems Analysts,Spreadsheet software
15-1211.00,Computer Systems Analysts,Office suite software
15-1211.00,Computer Systems Analysts,Presentation software
15-1211.00,Computer Systems Analysts,Desktop publishing software
15-1211.00,Computer Systems Analysts,Cloud-based data access and sharing software
15-1211.00,Computer Systems Analysts,Data base reporting software
15-1211.00,Computer Systems Analysts,Network monitoring software
15-1211.00,Computer Systems Analysts,Graphical user interface development software
15-1211.00,Computer Systems Analysts,Network conferencing software
15-1211.00,Computer Systems Analysts,Industrial control software
15-1211.00,Computer Systems Analysts,Backup or archival software
15-1211.00,Computer Systems Analysts,Compiler and decompiler software
15-1211.00,Computer Systems Analysts,Network security or virtual private network VPN management software
15-1211.00,Computer Systems Analysts,Clustering software
15-1211.00,Computer Systems Analysts,Internet protocol IP multimedia subsystem software
15-1211.00,Computer Systems Analysts,Video creation and editing software
15-1211.01,Health Informatics Specialists,Desktop computers
15-1211.01,Health Informatics Specialists,Notebook computers
15-1211.01,Health Informatics Specialists,Liquid crystal display projector
15-1211.01,Health Informatics Specialists,Medical picture archiving computer systems PACS
15-1211.01,Health Informatics Specialists,Special purpose telephones
15-1211.01,Health Informatics Specialists,Overhead projectors
15-1211.01,Health Informatics Specialists,Personal computers
15-1211.01,Health Informatics Specialists,Tablet computers
15-1211.01,Health Informatics Specialists,Medical software
15-1211.01,Health Informatics Specialists,Data base management system software
15-1211.01,Health Informatics Specialists,Object or component oriented development software
15-1211.01,Health Informatics Specialists,Geographic information system
15-1211.01,Health Informatics Specialists,Analytical or scientific software
15-1211.01,Health Informatics Specialists,Web platform development software
15-1211.01,Health Informatics Specialists,Computer based training software
15-1211.01,Health Informatics Specialists,Calendar and scheduling software
15-1211.01,Health Informatics Specialists,Data base user interface and query software
15-1211.01,Health Informatics Specialists,Spreadsheet software
15-1211.01,Health Informatics Specialists,Office suite software
15-1211.01,Health Informatics Specialists,Electronic mail software
15-1211.01,Health Informatics Specialists,Business intelligence and data analysis software
15-1211.01,Health Informatics Specialists,Presentation software
15-1211.01,Health Informatics Specialists,Project management software
15-1211.01,Health Informatics Specialists,Cloud-based data access and sharing software
15-1211.01,Health Informatics Specialists,Process mapping and design software
15-1211.01,Health Informatics Specialists,Word processing software
15-1211.01,Health Informatics Specialists,Customer relationship management CRM software
15-1211.01,Health Informatics Specialists,Data base reporting software
15-1211.01,Health Informatics Specialists,Development environment software
15-1211.01,Health Informatics Specialists,Compliance software
15-1211.01,Health Informatics Specialists,Operating system software
15-1211.01,Health Informatics Specialists,Internet browser software
15-1212.00,Information Security Analysts,Desktop computers
15-1212.00,Information Security Analysts,Network analyzers
15-1212.00,Information Security Analysts,Mainframe computers
15-1212.00,Information Security Analysts,Notebook computers
15-1212.00,Information Security Analysts,Protocol analyzers
15-1212.00,Information Security Analysts,Word processing software
15-1212.00,Information Security Analysts,Access software
15-1212.00,Information Security Analysts,Network monitoring software
15-1212.00,Information Security Analysts,Internet directory services software
15-1212.00,Information Security Analysts,Development environment software
15-1212.00,Information Security Analysts,Object or component oriented development software
15-1212.00,Information Security Analysts,Web platform development software
15-1212.00,Information Security Analysts,Data base management system software
15-1212.00,Information Security Analysts,Data base user interface and query software
15-1212.00,Information Security Analysts,Storage networking software
15-1212.00,Information Security Analysts,Cloud-based management software
15-1212.00,Information Security Analysts,Expert system software
15-1212.00,Information Security Analysts,Transaction security and virus protection software
15-1212.00,Information Security Analysts,Portal server software
15-1212.00,Information Security Analysts,Business intelligence and data analysis software
15-1212.00,Information Security Analysts,File versioning software
15-1212.00,Information Security Analysts,Operating system software
15-1212.00,Information Security Analysts,Risk management data and analysis software
15-1212.00,Information Security Analysts,Enterprise application integration software
15-1212.00,Information Security Analysts,Project management software
15-1212.00,Information Security Analysts,Content workflow software
15-1212.00,Information Security Analysts,Configuration management software
15-1212.00,Information Security Analysts,Backup or archival software
15-1212.00,Information Security Analysts,Instant messaging software
15-1212.00,Information Security Analysts,Switch or router software
15-1212.00,Information Security Analysts,Administration software
15-1212.00,Information Security Analysts,Filesystem software
15-1212.00,Information Security Analysts,Program testing software
15-1212.00,Information Security Analysts,Network security and virtual private network VPN equipment software
15-1212.00,Information Security Analysts,Transaction server software
15-1212.00,Information Security Analysts,Financial analysis software
15-1212.00,Information Security Analysts,Authentication server software
15-1212.00,Information Security Analysts,Application server software
15-1212.00,Information Security Analysts,Medical software
15-1212.00,Information Security Analysts,Geographic information system
15-1212.00,Information Security Analysts,Web page creation and editing software
15-1212.00,Information Security Analysts,Network security or virtual private network VPN management software
15-1212.00,Information Security Analysts,Human resources software
15-1212.00,Information Security Analysts,Communications server software
15-1212.00,Information Security Analysts,Electronic mail software
15-1212.00,Information Security Analysts,Enterprise system management software
15-1212.00,Information Security Analysts,Information retrieval or search software
15-1212.00,Information Security Analysts,License management software
15-1212.00,Information Security Analysts,Enterprise resource planning ERP software
15-1212.00,Information Security Analysts,Spreadsheet software
15-1212.00,Information Security Analysts,Office suite software
15-1212.00,Information Security Analysts,Presentation software
15-1212.00,Information Security Analysts,Cloud-based data access and sharing software
15-1212.00,Information Security Analysts,Data base reporting software
15-1212.00,Information Security Analysts,Process mapping and design software
15-1212.00,Information Security Analysts,Object oriented data base management software
15-1212.00,Information Security Analysts,Cloud-based protection or security software
15-1212.00,Information Security Analysts,Customer relationship management CRM software
15-1212.00,Information Security Analysts,Analytical or scientific software
15-1212.00,Information Security Analysts,Desktop communications software
15-1212.00,Information Security Analysts,Point of sale POS software
15-1212.00,Information Security Analysts,Industrial control software
15-1212.00,Information Security Analysts,Requirements analysis and system architecture software
15-1212.00,Information Security Analysts,Clustering software
15-1212.00,Information Security Analysts,Internet protocol IP multimedia subsystem software
15-1221.00,Computer and Information Research Scientists,Pick or place robots
15-1221.00,Computer and Information Research Scientists,High end computer servers
15-1221.00,Computer and Information Research Scientists,Laser printers
15-1221.00,Computer and Information Research Scientists,Scanners
15-1221.00,Computer and Information Research Scientists,Digital cameras
15-1221.00,Computer and Information Research Scientists,Digital camcorders or video cameras
15-1221.00,Computer and Information Research Scientists,Computer servers
15-1221.00,Computer and Information Research Scientists,Loudspeakers
15-1221.00,Computer and Information Research Scientists,Graphics tablets
15-1221.00,Computer and Information Research Scientists,Hard disk drives
15-1221.00,Computer and Information Research Scientists,Content delivery networking equipment
15-1221.00,Computer and Information Research Scientists,Camera based vision systems for automated data collection
15-1221.00,Computer and Information Research Scientists,Stage or projection or studio lighting system
15-1221.00,Computer and Information Research Scientists,Compact disks CDs
15-1221.00,Computer and Information Research Scientists,Mainframe computers
15-1221.00,Computer and Information Research Scientists,Microprocessors
15-1221.00,Computer and Information Research Scientists,Network interface cards
15-1221.00,Computer and Information Research Scientists,Hard disk arrays
15-1221.00,Computer and Information Research Scientists,Cinematographic cameras
15-1221.00,Computer and Information Research Scientists,Personal computers
15-1221.00,Computer and Information Research Scientists,Tape arrays
15-1221.00,Computer and Information Research Scientists,Multimedia projectors
15-1221.00,Computer and Information Research Scientists,High capacity removable media drives
15-1221.00,Computer and Information Research Scientists,Graphics or photo imaging software
15-1221.00,Computer and Information Research Scientists,Development environment software
15-1221.00,Computer and Information Research Scientists,Analytical or scientific software
15-1221.00,Computer and Information Research Scientists,Data base management system software
15-1221.00,Computer and Information Research Scientists,Data base user interface and query software
15-1221.00,Computer and Information Research Scientists,Portal server software
15-1221.00,Computer and Information Research Scientists,Business intelligence and data analysis software
15-1221.00,Computer and Information Research Scientists,File versioning software
15-1221.00,Computer and Information Research Scientists,Operating system software
15-1221.00,Computer and Information Research Scientists,Object or component oriented development software
15-1221.00,Computer and Information Research Scientists,Clustering software
15-1221.00,Computer and Information Research Scientists,Computer aided design CAD software
15-1221.00,Computer and Information Research Scientists,Data mining software
15-1221.00,Computer and Information Research Scientists,Web platform development software
15-1221.00,Computer and Information Research Scientists,Application server software
15-1221.00,Computer and Information Research Scientists,Geographic information system
15-1221.00,Computer and Information Research Scientists,Enterprise application integration software
15-1221.00,Computer and Information Research Scientists,Sales and marketing software
15-1221.00,Computer and Information Research Scientists,Compiler and decompiler software
15-1221.00,Computer and Information Research Scientists,Communications server software
15-1221.00,Computer and Information Research Scientists,Configuration management software
15-1221.00,Computer and Information Research Scientists,Enterprise resource planning ERP software
15-1221.00,Computer and Information Research Scientists,Spreadsheet software
15-1221.00,Computer and Information Research Scientists,Office suite software
15-1221.00,Computer and Information Research Scientists,Presentation software
15-1221.00,Computer and Information Research Scientists,Project management software
15-1221.00,Computer and Information Research Scientists,Web page creation and editing software
15-1221.00,Computer and Information Research Scientists,Object oriented data base management software
15-1221.00,Computer and Information Research Scientists,Metadata management software
15-1221.00,Computer and Information Research Scientists,Cloud-based management software
15-1221.00,Computer and Information Research Scientists,Industrial control software
15-1221.00,Computer and Information Research Scientists,Requirements analysis and system architecture software
